second,top,bottom,left,right,total
676,1,0,0,0,1
677,0,0,0,0,0
678,1,1,0,0,2
679,0,1,0,0,1
680,1,0,0,0,1
681,0,0,0,1,1
682,1,0,0,0,1
683,0,1,0,0,1
684,1,1,0,0,2
685,0,1,0,0,1
686,1,1,0,0,2
687,0,1,0,0,1
688,1,1,0,0,2
689,0,0,0,0,0
690,0,0,0,0,0
691,1,0,0,0,1
692,0,0,0,0,0
693,1,0,0,0,1
694,0,0,0,0,0
695,1,1,0,0,2
696,0,0,0,0,0
697,0,0,0,0,0
698,0,0,0,0,0
699,0,0,0,0,0
700,0,0,0,0,0
701,0,0,0,0,0
702,0,0,0,1,1
703,0,0,0,0,0
704,0,0,0,1,1
705,0,0,0,0,0
706,0,0,0,2,2
707,0,0,0,0,0
708,0,0,0,0,0
709,0,1,1,1,3
710,0,0,1,0,1
711,0,0,0,1,1
712,0,0,0,0,0
713,0,0,0,1,1
714,0,0,0,1,1
715,0,0,0,2,2
716,0,0,1,0,1
717,0,0,1,0,1
718,0,0,0,2,2
719,0,0,1,0,1
720,0,0,1,2,3
721,0,0,1,1,2
722,0,0,1,1,2
723,0,0,0,0,0
724,0,0,0,1,1
725,0,0,0,0,0
726,0,0,0,1,1
727,0,0,0,1,1
728,0,0,0,0,0
729,0,0,0,1,1
730,0,0,2,0,2
731,0,0,1,2,3
732,0,0,0,0,0
733,0,0,0,2,2
734,0,0,0,1,1
735,0,0,0,1,1
736,0,0,1,2,3
737,0,0,0,0,0
738,0,1,0,1,2
739,0,0,0,1,1
740,0,0,0,0,0
741,0,0,1,0,1
742,0,0,1,2,3
743,0,0,0,1,1
744,0,0,0,0,0
745,0,0,1,1,2
746,0,0,1,0,1
747,0,0,0,1,1
748,0,0,0,2,2
749,0,0,0,1,1
750,0,0,0,0,0
751,0,0,0,0,0
752,0,0,1,1,2
753,0,0,3,0,3
754,0,0,0,1,1
755,0,0,0,1,1
756,0,0,0,0,0
757,0,0,0,0,0
758,0,0,0,1,1
759,0,0,0,0,0
760,0,0,0,1,1
761,0,0,1,2,3
762,0,0,0,0,0
763,0,0,0,3,3
764,0,1,0,0,1
765,0,0,0,2,2
766,0,0,0,1,1
767,0,0,0,3,3
768,0,0,0,2,2
769,0,0,0,1,1
770,0,0,0,1,1
771,0,0,0,2,2
772,0,0,0,0,0
773,0,0,0,1,1
774,0,0,0,0,0
775,0,0,1,3,4
776,0,0,0,0,0
777,0,0,0,2,2
778,0,0,2,0,2
779,0,0,0,2,2
780,0,0,0,0,0
781,0,0,1,2,3
782,0,0,0,0,0
783,0,0,0,1,1
784,0,0,1,1,2
785,0,0,0,0,0
786,0,0,1,0,1
787,0,0,0,1,1
788,0,0,0,2,2
789,0,1,0,0,1
790,0,0,1,0,1
791,0,0,0,1,1
792,0,0,0,0,0
793,0,0,0,0,0
794,0,0,1,1,2
795,0,0,0,1,1
796,0,0,0,2,2
797,0,0,0,1,1
798,1,0,0,0,1
799,0,0,0,0,0
800,0,0,0,0,0
801,0,0,0,1,1
802,0,0,0,1,1
803,0,0,0,0,0
804,0,0,0,0,0
805,0,0,0,1,1
806,0,0,0,1,1
807,0,0,0,0,0
808,0,0,0,0,0
809,0,0,0,0,0
810,0,1,0,0,1
811,0,1,0,0,1
812,0,0,0,0,0
813,2,1,0,0,3
814,1,0,0,0,1
815,1,0,0,0,1
816,0,3,0,0,3
817,5,0,0,0,5
818,0,2,0,0,2
819,3,0,0,0,3
820,0,0,0,0,0
821,3,0,0,0,3
822,0,1,0,0,1
823,1,2,0,0,3
824,1,0,0,0,1
825,2,0,0,0,2
826,1,2,0,0,3
827,2,1,0,0,3
828,1,1,0,0,2
829,1,1,0,0,2
830,0,1,0,0,1
831,0,0,0,0,0
